mode,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,prev_latent_baseline_cos,initial_noise_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,hidden_cos,run_dir,cond_frames,future_pixel_frames,frame_start,frame_stride,cond_latent_frames,summary_target_latent_idx,latent_shape
A1_causal,0.5,1,0.5 0.002,4,0.9647329449653625,-0.0011308368993923068,0.024080511182546616,0.6924650073051453,0.023877490311861038,0.6926385760307312,-0.9408554546535015,-0.9406524337828159,0.6136614680290222,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.5,3,0.5 0.12266964 0.021107669 0.002,4,0.9647329449653625,-0.00043212127638980746,0.0235525444149971,0.6982262134552002,0.023202601820230484,0.698373556137085,-0.9415303431451321,-0.9411804005503654,0.7727938890457153,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.5,5,0.5 0.22269149 0.089224105 0.031149099 0.0090225648 0.002,4,0.9647329449653625,0.002369479974731803,0.02892737090587616,0.7001929879188538,0.028574980795383453,0.7003358006477356,-0.9361579641699791,-0.9358055740594864,0.8380775451660156,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.5,10,0.5 0.33760387 0.22269149 0.14307905 0.089224105 0.053770554 0.031149099 0.017229734 0.0090225648 0.0044233257 0.002,4,0.9647329449653625,0.0004508008132688701,0.01903442107141018,0.7050908803939819,0.018727263435721397,0.7052096724510193,-0.9460056815296412,-0.9456985238939524,0.8583089113235474,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.5,20,0.5 0.41198815 0.33760387 0.27504134 0.22269149 0.17912547 0.14307905 0.11343794 0.089224105 0.069582798 0.053770554 0.04114394 0.031149099 0.023312053 0.017229734 0.012561706 0.0090225648 0.0063749751 0.0044233257 0.0030079658 0.002,4,0.9647329449653625,0.0003723916597664356,0.016823168843984604,0.7110761404037476,0.016518795862793922,0.7112559080123901,-0.9482141491025686,-0.947909776121378,0.8666038513183594,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.5,35,0.5 0.44792616 0.40057184 0.35757508 0.31859647 0.28331807 0.25144242 0.22269149 0.19680574 0.17354315 0.15267836 0.13400177 0.11731869 0.10244855 0.089224105 0.077490698 0.067105514 0.057936901 0.0498637 0.042774603 0.036567542 0.031149099 0.026433944 0.0223443 0.018809431 0.015765147 0.013153347 0.010921567 0.0090225648 0.0074139185 0.0060576472 0.0049198535 0.003970385 0.0031825143 0.0025326392 0.002,4,0.9647329449653625,-0.0021491707302629948,0.015605990774929523,0.7152470946311951,0.015326685272157192,0.7154123187065125,-0.9494062596932054,-0.949126954190433,0.8743710517883301,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.8,1,0.8 0.002,4,0.9647329449653625,0.002572141122072935,0.07043100148439407,0.6852247714996338,0.07002365589141846,0.6854469776153564,-0.8947092890739441,-0.8943019434809685,0.5930287837982178,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.8,3,0.8 0.1803376 0.027107146 0.002,4,0.9647329449653625,-0.00045054417569190264,0.03424088656902313,0.7020658850669861,0.033911146223545074,0.7022251486778259,-0.9308217987418175,-0.9304920583963394,0.7677502632141113,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,4,0.9647329449653625,-0.0006042756722308695,0.02474021539092064,0.7152643799781799,0.024470258504152298,0.7154102325439453,-0.9402626864612103,-0.9399927295744419,0.8557506203651428,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,4,0.9647329449653625,-0.003310896223410964,0.01985788159072399,0.7317332625389099,0.019680535420775414,0.7318282723426819,-0.9450524095445871,-0.9448750633746386,0.8761000633239746,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.8,20,0.8 0.65221396 0.52847472 0.42542904 0.3401087 0.26989634 0.2124934 0.16589006 0.12833713 0.098319816 0.074533362 0.055860379 0.041349901 0.030198058 0.021730302 0.015385136 0.010699258 0.0072940769 0.0048635222 0.0031630801 0.002,4,0.9647329449653625,0.0018208406399935484,0.03257232904434204,0.7293137907981873,0.03236789628863335,0.7294869422912598,-0.9323650486767292,-0.9321606159210205,0.8799207210540771,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.8,35,0.8 0.71239631 0.63314727 0.56157808 0.49705823 0.43899935 0.38685301 0.3401087 0.29829176 0.26096154 0.22770947 0.19815731 0.17195544 0.14878115 0.12833713 0.11034987 0.09456826 0.080762136 0.068720976 0.0582526 0.049181945 0.041349901 0.034612187 0.028838295 0.023910477 0.019722787 0.01618017 0.013197598 0.010699258 0.0086177777 0.0068935054 0.0054738218 0.0043125011 0.0033691094 0.0026084422 0.002,4,0.9647329449653625,-0.0027990727685391903,0.01934167370200157,0.742796003818512,0.019180094823241234,0.7429351806640625,-0.9455528501421213,-0.945391271263361,0.8761177062988281,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,1.0,1,1 0.002,4,0.9647329449653625,0.00023114972282201052,0.07257702946662903,0.6838269233703613,0.07218749821186066,0.6840245723724365,-0.8925454467535019,-0.8921559154987335,0.583713173866272,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,1.0,3,1 0.21688892 0.030609557 0.002,4,0.9647329449653625,0.001026228303089738,0.052200816571712494,0.6997669339179993,0.05190972238779068,0.6999173164367676,-0.9128232225775719,-0.91253212839365,0.7564191818237305,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,4,0.9647329449653625,-0.0009589618421159685,0.03118421882390976,0.7213520407676697,0.030928604304790497,0.7215086817741394,-0.933804340660572,-0.9335487261414528,0.8629848957061768,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,1.0,10,1 0.65408052 0.41625082 0.25675965 0.15280411 0.087233805 0.047427303 0.02432853 0.011630898 0.005096774 0.002,4,0.9647329449653625,0.0011198229622095823,0.032806895673274994,0.7375664114952087,0.03265853971242905,0.7376564741134644,-0.9320744052529335,-0.9319260492920876,0.878472626209259,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
