mode,sigma_start,denoise_steps,target_latent_idx,prev_latent_baseline_cos,noisy_input_cos,latent_cos_pred_x0,latent_mse_pred_x0,cos_pred_x0_vs_baseline_diff,hidden_cos,run_dir,cond_frames,future_pixel_frames,frame_start,frame_stride,cond_latent_frames,summary_target_latent_idx,latent_shape
A0_noised_true_future,5.0,0,2,0.8892824649810791,-0.5310285091400146,-0.8365484476089478,3.498140811920166,-1.7258309125900269,-0.17367014288902283,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_5_future_4,5,4,0,1,2,2,1x16x3x88x160
A0_noised_true_future,0.002,0,3,0.938575267791748,0.9999951720237732,0.9999949932098389,8.724409781279974e-06,0.06141972541809082,0.9999967217445374,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,0.05,0,3,0.938575267791748,0.9979501962661743,0.9984865784645081,0.0037557557225227356,0.05991131067276001,0.9008575677871704,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,0.1,0,3,0.938575267791748,0.990951657295227,0.9958431124687195,0.01211524847894907,0.057267844676971436,0.7837752103805542,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,0.2,0,3,0.938575267791748,0.9566840529441833,0.9905928373336792,0.037644773721694946,0.05201756954193115,0.7196865081787109,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,0.3,0,3,0.938575267791748,0.8868288397789001,0.9854419827461243,0.07440794259309769,0.04686671495437622,0.682110071182251,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,0.5,0,3,0.938575267791748,0.6343131065368652,0.9716699123382568,0.1847187876701355,0.03309464454650879,0.6158028841018677,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,0.8,0,3,0.938575267791748,0.20003044605255127,0.8536361455917358,0.45307525992393494,-0.08493912220001221,0.5518906116485596,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,1.0,0,3,0.938575267791748,0.0010640468681231141,0.09172435104846954,0.6717275381088257,-0.8468509167432785,0.5386118292808533,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,2.0,0,3,0.938575267791748,-0.3783876299858093,-0.8943041563034058,2.3032243251800537,-1.8328794240951538,0.4484825134277344,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
A0_noised_true_future,5.0,0,3,0.938575267791748,-0.5497208833694458,-0.8395829796791077,3.710261821746826,-1.7781582474708557,-0.17609763145446777,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_9_future_4,9,4,0,1,3,3,1x16x4x88x160
