target,source,layer,split,loss,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,valid_fraction
current_uv,denoise_tau=0.750,27,test,0.02746795987089475,0.02746795987089475,0.1367006043593089,0.1141973872979482,31.919764709472656,0.49375000794728596
future_uv,denoise_tau=0.600,6,val,0.025656254571321962,0.025656254571321962,0.1407580248542599,0.11160845668999465,32.30419343001359,0.50244755636562
future_uv,denoise_tau=0.600,6,test,0.02448241909344991,0.02448241909344991,0.1325061281522115,0.11056945621967315,31.03308080037435,0.4775000135103861
current_uv,denoise_tau=0.600,6,val,0.026968683826027216,0.026968683826027216,0.1443915717251651,0.1142935772667398,33.21426292899605,0.5122377630713937
current_uv,denoise_tau=0.600,6,test,0.02329717713097731,0.02329717713097731,0.1292837550242742,0.10810337662696838,30.401639302571613,0.49375000794728596
future_uv,denoise_tau=0.600,14,val,0.021675334533455073,0.021675334533455073,0.12839813613808237,0.10226781358877263,28.837652953354628,0.50244755636562
future_uv,denoise_tau=0.600,14,test,0.020022245496511458,0.020022245496511458,0.11989914178848267,0.09659571995337804,26.621685791015626,0.4775000135103861
current_uv,denoise_tau=0.600,14,val,0.020908143175961253,0.020908143175961253,0.1264569903691332,0.09847284733623891,28.119238780095028,0.5122377630713937
current_uv,denoise_tau=0.600,14,test,0.020947362606724102,0.020947362606724102,0.121329798301061,0.09666664053996404,26.62697563171387,0.49375000794728596
future_uv,denoise_tau=0.600,27,val,0.025104180655696175,0.025104180655696175,0.13806390324672618,0.11352618507571988,32.48195288064596,0.50244755636562
future_uv,denoise_tau=0.600,27,test,0.02017006538808346,0.02017006538808346,0.11999221742153168,0.0974863201379776,27.27629000345866,0.4775000135103861
current_uv,denoise_tau=0.600,27,val,0.024815440464478273,0.024815440464478273,0.1367067666528942,0.11129802705107869,31.579974754706964,0.5122377630713937
current_uv,denoise_tau=0.600,27,test,0.022209469228982925,0.022209469228982925,0.1224794586499532,0.09693822413682937,27.16707903544108,0.49375000794728596
future_uv,denoise_tau=0.450,6,val,0.024366086479146162,0.024366086479146162,0.13728314033755057,0.10523304103554545,30.578496012654337,0.50244755636562
future_uv,denoise_tau=0.450,6,test,0.02378981883327166,0.02378981883327166,0.13034323652585347,0.10531426618496577,29.217680740356446,0.4775000135103861
current_uv,denoise_tau=0.450,6,val,0.025849693734850084,0.025849693734850084,0.14141548930348216,0.11545917516821748,32.97578656923521,0.5122377630713937
current_uv,denoise_tau=0.450,6,test,0.022796466698249182,0.022796466698249182,0.12622525791327158,0.10214818865060807,28.73055165608724,0.49375000794728596
future_uv,denoise_tau=0.450,14,val,0.02229273011191533,0.02229273011191533,0.130464415658604,0.10277989590084637,29.257193291937554,0.50244755636562
future_uv,denoise_tau=0.450,14,test,0.02112096411486467,0.02112096411486467,0.12336930135885875,0.10211304575204849,28.14985885620117,0.4775000135103861
current_uv,denoise_tau=0.450,14,val,0.021893006892731555,0.021893006892731555,0.1289060792618698,0.10255612995657888,28.893279682506215,0.5122377630713937
current_uv,denoise_tau=0.450,14,test,0.021461482594410577,0.021461482594410577,0.12404312988122304,0.09994655400514603,28.116014607747395,0.49375000794728596
future_uv,denoise_tau=0.450,27,val,0.02795273289605454,0.02795273289605454,0.14462665734174368,0.11922830166099789,34.41726273756761,0.50244755636562
future_uv,denoise_tau=0.450,27,test,0.02066645622253418,0.02066645622253418,0.11996909578641256,0.09460468043883642,26.646417872111,0.4775000135103861
current_uv,denoise_tau=0.450,27,val,0.022681336472188677,0.022681336472188677,0.1312685849574896,0.10647439341861885,29.70975421025203,0.5122377630713937
current_uv,denoise_tau=0.450,27,test,0.018631032047172386,0.018631032047172386,0.1119954064488411,0.0874803438782692,24.741156641642252,0.49375000794728596
future_uv,denoise_tau=0.300,6,val,0.02542712443045803,0.02542712443045803,0.1399216425793988,0.10804176924528776,31.28675532841182,0.50244755636562
future_uv,denoise_tau=0.300,6,test,0.024890612189968426,0.024890612189968426,0.13246825933456421,0.11046951711177826,30.970101420084635,0.4775000135103861
current_uv,denoise_tau=0.300,6,val,0.024744065230959778,0.024744065230959778,0.1378819647577259,0.10802525990492814,31.370532429301655,0.5122377630713937
current_uv,denoise_tau=0.300,6,test,0.02539614128569762,0.02539614128569762,0.1346718539794286,0.10876471499602,30.482856241861978,0.49375000794728596
future_uv,denoise_tau=0.300,14,val,0.022940844154128663,0.022940844154128663,0.13249531377862384,0.10164292016021022,29.265882878870396,0.50244755636562
future_uv,denoise_tau=0.300,14,test,0.021156870449582737,0.021156870449582737,0.12376879652341206,0.10030186225970586,27.408449045817058,0.4775000135103861
current_uv,denoise_tau=0.300,14,val,0.021463125123531667,0.021463125123531667,0.12737822162729878,0.09831550232805572,28.007531973031853,0.5122377630713937
current_uv,denoise_tau=0.300,14,test,0.021064322938521705,0.021064322938521705,0.12273694475491842,0.10121976931889852,28.18466771443685,0.49375000794728596
future_uv,denoise_tau=0.300,27,val,0.023303023090104125,0.023303023090104125,0.13288865566670477,0.10877606496735887,30.93749020983289,0.50244755636562
future_uv,denoise_tau=0.300,27,test,0.022642689943313598,0.022642689943313598,0.12649113337198895,0.10083196461200714,28.46466318766276,0.4775000135103861
current_uv,denoise_tau=0.300,27,val,0.022999783385206352,0.022999783385206352,0.1311283735753773,0.10682715767330223,30.469555741423495,0.5122377630713937
current_uv,denoise_tau=0.300,27,test,0.022969124466180803,0.022969124466180803,0.1280277778704961,0.10352438688278198,29.383708953857422,0.49375000794728596
future_uv,denoise_tau=0.200,6,val,0.029850083631235404,0.029850083631235404,0.15190717525832304,0.12175732996913936,35.249881931118196,0.50244755636562
future_uv,denoise_tau=0.200,6,test,0.024675944695870082,0.024675944695870082,0.13237083355585735,0.10968085080385208,30.751334635416665,0.4775000135103861
current_uv,denoise_tau=0.200,6,val,0.02740566765928602,0.02740566765928602,0.14552533928747777,0.11589283511772022,34.10060028929811,0.5122377630713937
current_uv,denoise_tau=0.200,6,test,0.025038146475950877,0.025038146475950877,0.13401571909586588,0.11290677140156428,31.524693806966145,0.49375000794728596
future_uv,denoise_tau=0.200,14,val,0.02190273348893319,0.02190273348893319,0.12983241958634836,0.10048429282395156,28.72821669145064,0.50244755636562
future_uv,denoise_tau=0.200,14,test,0.02470516028503577,0.02470516028503577,0.13245567580064138,0.1080656553308169,29.7571657816569,0.4775000135103861
current_uv,denoise_tau=0.200,14,val,0.022707537025004835,0.022707537025004835,0.13186342639106136,0.10651155978024422,30.156806745729245,0.5122377630713937
current_uv,denoise_tau=0.200,14,test,0.021258614708979925,0.021258614708979925,0.1224352757136027,0.09859902809063593,27.561238861083986,0.49375000794728596
future_uv,denoise_tau=0.200,27,val,0.021544157208262624,0.021544157208262624,0.1274115813153607,0.10367068460771253,29.65794144477044,0.50244755636562
future_uv,denoise_tau=0.200,27,test,0.024432317167520524,0.024432317167520524,0.13121728599071503,0.10601382603247961,29.580123138427734,0.4775000135103861
current_uv,denoise_tau=0.200,27,val,0.022518679056759482,0.022518679056759482,0.13003918736964673,0.1037731446273677,29.576353673334722,0.5122377630713937
current_uv,denoise_tau=0.200,27,test,0.021292024478316306,0.021292024478316306,0.12018088897069296,0.09356757203737895,26.303473027547202,0.49375000794728596
