mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,initial_noise_cos,initial_noise_sequence_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,sequence_cos_pred_x0,sequence_mse_pred_x0,sequence_cos_x_final,sequence_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,sequence_cos_x_final_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,20,0.5 0.41198815 0.33760387 0.27504134 0.22269149 0.17912547 0.14307905 0.11343794 0.089224105 0.069582798 0.053770554 0.04114394 0.031149099 0.023312053 0.017229734 0.012561706 0.0090225648 0.0063749751 0.0044233257 0.0030079658 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0013422103365883231,0.0013422103365883231,0.26949214935302734,0.4560520350933075,0.2650912404060364,0.45643100142478943,0.26949214935302734,0.4560520350933075,0.2650912404060364,0.45643100142478943,-0.5629439949989319,-0.5585430860519409,-0.5629439949989319,-0.5585430860519409,0.7713145613670349
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,1,0.8 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0010139595251530409,0.0010139595251530409,0.2021292746067047,0.4617261290550232,0.2014114409685135,0.4618050456047058,0.2021292746067047,0.4617261290550232,0.2014114409685135,0.4618050456047058,-0.6266237944364548,-0.6259059607982635,-0.6266237944364548,-0.6259059607982635,0.5053565502166748
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,3,0.8 0.1803376 0.027107146 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0017813672311604023,-0.0017813672311604023,0.2604803442955017,0.4559013545513153,0.25666868686676025,0.4562709331512451,0.2604803442955017,0.4559013545513153,0.25666868686676025,0.4562709331512451,-0.571366548538208,-0.5675548911094666,-0.571366548538208,-0.5675548911094666,0.60994553565979
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.001548171043395996,-0.001548171043395996,0.24811366200447083,0.4545307457447052,0.24437691271305084,0.4549931585788727,0.24811366200447083,0.4545307457447052,0.24437691271305084,0.4549931585788727,-0.5836583226919174,-0.5799215734004974,-0.5836583226919174,-0.5799215734004974,0.7162036299705505
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,1,2,0.8280352354049683,0.8280352354049683,0.004501017741858959,0.004501017741858959,0.332095205783844,0.4434330463409424,0.3286377787590027,0.44383612275123596,0.332095205783844,0.4434330463409424,0.3286377787590027,0.44383612275123596,-0.4993974566459656,-0.49594002962112427,-0.4993974566459656,-0.49594002962112427,0.7312619686126709
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,20,0.8 0.65221396 0.52847472 0.42542904 0.3401087 0.26989634 0.2124934 0.16589006 0.12833713 0.098319816 0.074533362 0.055860379 0.041349901 0.030198058 0.021730302 0.015385136 0.010699258 0.0072940769 0.0048635222 0.0031630801 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0009999198373407125,-0.0009999198373407125,0.25873804092407227,0.45252135396003723,0.2552585005760193,0.45295441150665283,0.25873804092407227,0.45252135396003723,0.2552585005760193,0.45295441150665283,-0.572776734828949,-0.569297194480896,-0.572776734828949,-0.569297194480896,0.764987587928772
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,1,1 0.002,1,2,0.8280352354049683,0.8280352354049683,-8.806714322417974e-05,-8.806714322417974e-05,0.18642815947532654,0.46333837509155273,0.1856638491153717,0.4634244740009308,0.18642815947532654,0.46333837509155273,0.1856638491153717,0.4634244740009308,-0.6423713862895966,-0.6416070759296417,-0.6423713862895966,-0.6416070759296417,0.5035361051559448
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,3,1 0.21688892 0.030609557 0.002,1,2,0.8280352354049683,0.8280352354049683,3.922358155250549e-05,3.922358155250549e-05,0.2611472010612488,0.4543182849884033,0.25781679153442383,0.45466098189353943,0.2611472010612488,0.4543182849884033,0.25781679153442383,0.45466098189353943,-0.5702184438705444,-0.5668880343437195,-0.5702184438705444,-0.5668880343437195,0.6409517526626587
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0016311826184391975,-0.0016311826184391975,0.26408055424690247,0.45263248682022095,0.2601121664047241,0.45310306549072266,0.26408055424690247,0.45263248682022095,0.2601121664047241,0.45310306549072266,-0.5679230690002441,-0.5639546811580658,-0.5679230690002441,-0.5639546811580658,0.7180571556091309
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,10,1 0.65408052 0.41625082 0.25675965 0.15280411 0.087233805 0.047427303 0.02432853 0.011630898 0.005096774 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.002335776574909687,-0.002335776574909687,0.26316002011299133,0.45148512721061707,0.25979405641555786,0.4519250988960266,0.26316002011299133,0.45148512721061707,0.25979405641555786,0.4519250988960266,-0.5682411789894104,-0.5648752152919769,-0.5682411789894104,-0.5648752152919769,0.7605234384536743
