target,source,layer,horizon,future_step,future_step_1based,split,loss,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,valid_fraction
future_uv,raw_no_denoise,12,8.0,1,2,test,0.009529515699817033,0.009529515699817033,0.09713219977745605,0.07508745292051239,21.36398770745003,0.44099379079435674
future_uv,raw_no_denoise,12,16.0,3,4,val,0.009291659688531625,0.009291659688531625,0.07488585639913739,0.05592508336289004,15.709780530231756,0.37456446117640374
future_uv,raw_no_denoise,12,16.0,3,4,test,0.008955882165164495,0.008955882165164495,0.09335559932032975,0.07125615963315124,20.091396604265487,0.3995859170058746
future_uv,raw_no_denoise,12,24.0,5,6,val,0.006518525279123816,0.006518525279123816,0.06725146561757198,0.051126641107768545,14.327191608708079,0.3344947735191638
future_uv,raw_no_denoise,12,24.0,5,6,test,0.007644846931284999,0.007644846931284999,0.08717225712587127,0.06911348349435976,19.328744106411193,0.364389237286388
future_uv,raw_no_denoise,12,36.0,8,9,val,0.00570971137951112,0.00570971137951112,0.06462954550669998,0.04800390437868414,13.797045664504845,0.2421602773957136
future_uv,raw_no_denoise,12,36.0,8,9,test,0.005420411701697864,0.005420411701697864,0.07199777213868147,0.05136245575504027,14.52926490815283,0.26915113939508395
future_uv,raw_no_denoise,12,45.0,10,11,val,0.004226138075417758,0.004226138075417758,0.055480955317876064,0.04008224966062901,11.447790753966009,0.18292682989133774
future_uv,raw_no_denoise,12,45.0,10,11,test,0.00419198163432179,0.00419198163432179,0.06412313264596042,0.04978377100535308,13.641409826574858,0.2256728760574175
current_uv,raw_no_denoise,12,,0,1,val,0.004256407975280846,0.004256407975280846,0.056906594787740544,0.04355037264292248,12.40861159002324,0.45296167164314083
current_uv,raw_no_denoise,12,,0,1,test,0.017119418913556367,0.017119418913556367,0.12617252754745523,0.09690515646869105,27.7209602774547,0.480331267752756
future_uv,raw_no_denoise,16,8.0,1,2,val,0.005912050410929925,0.005912050410929925,0.06469362843067804,0.04563284456366446,13.118956672189958,0.4216027868334009
future_uv,raw_no_denoise,16,8.0,1,2,test,0.01188658053579877,0.01188658053579877,0.10659339746333057,0.07931902659883411,22.498110587552468,0.44099379079435674
future_uv,raw_no_denoise,16,16.0,3,4,val,0.0087471246737208,0.0087471246737208,0.07578189938429757,0.057865590337365345,16.38093040878349,0.37456446117640374
future_uv,raw_no_denoise,16,16.0,3,4,test,0.008378129476569516,0.008378129476569516,0.0908065089342757,0.07018465731547487,19.623974197893162,0.3995859170058746
future_uv,raw_no_denoise,16,24.0,5,6,val,0.0072709151611822405,0.0072709151611822405,0.07328091683807274,0.0549564623510796,15.689598595223776,0.3344947735191638
future_uv,raw_no_denoise,16,24.0,5,6,test,0.006793696087193106,0.006793696087193106,0.08175268803200614,0.061421259096196966,17.069040460369354,0.364389237286388
future_uv,raw_no_denoise,16,36.0,8,9,val,0.005951617200265051,0.005951617200265051,0.06608809201040335,0.048370408835311386,13.92437248030606,0.2421602773957136
future_uv,raw_no_denoise,16,36.0,8,9,test,0.005187205078492932,0.005187205078492932,0.07080111766762368,0.050807437803557697,14.253610478671687,0.26915113939508395
future_uv,raw_no_denoise,16,45.0,10,11,val,0.005117481566303594,0.005117481566303594,0.06099609040269038,0.04315461789481731,12.246246540587954,0.18292682989133774
future_uv,raw_no_denoise,16,45.0,10,11,test,0.00452149032150428,0.00452149032150428,0.06551936572691422,0.05439840360519555,15.383420039901575,0.2256728760574175
current_uv,raw_no_denoise,16,,0,1,val,0.004339806960233672,0.004339806960233672,0.05694216082216555,0.04416334848422622,12.634710969825239,0.45296167164314083
current_uv,raw_no_denoise,16,,0,1,test,0.017105178933544372,0.017105178933544372,0.12405556849132661,0.09040415989655393,25.558956292351827,0.480331267752756
future_uv,raw_no_denoise,20,8.0,1,2,val,0.008195857288646885,0.008195857288646885,0.07814405557378244,0.05791019048632645,16.550251625140785,0.4216027868334009
future_uv,raw_no_denoise,20,8.0,1,2,test,0.014984793018156327,0.014984793018156327,0.12051980592325855,0.08705518766466382,24.226054090890827,0.44099379079435674
future_uv,raw_no_denoise,20,16.0,3,4,val,0.010167703720439186,0.010167703720439186,0.08592183259721417,0.0650107206757268,18.313776076047677,0.37456446117640374
future_uv,raw_no_denoise,20,16.0,3,4,test,0.01094388999391972,0.01094388999391972,0.10379868266066655,0.07888173415300516,21.723077699017573,0.3995859170058746
future_uv,raw_no_denoise,20,24.0,5,6,val,0.009157359973245174,0.009157359973245174,0.08164425755004019,0.0610620689412858,17.621345872247677,0.3344947735191638
future_uv,raw_no_denoise,20,24.0,5,6,test,0.00962099871804502,0.00962099871804502,0.09683474595995917,0.07278333695347018,20.154503109539025,0.364389237286388
future_uv,raw_no_denoise,20,36.0,8,9,val,0.007791550486033802,0.007791550486033802,0.07639653959963795,0.05620480637724807,16.011033712779188,0.2421602773957136
future_uv,raw_no_denoise,20,36.0,8,9,test,0.008713830961396543,0.008713830961396543,0.09250087221586926,0.06913899340306257,19.3320267639792,0.26915113939508395
future_uv,raw_no_denoise,20,45.0,10,11,val,0.007254260214117034,0.007254260214117034,0.07427297283340414,0.05488796831994522,15.8727992818746,0.18292682989133774
future_uv,raw_no_denoise,20,45.0,10,11,test,0.004762777845581558,0.004762777845581558,0.06821088519093907,0.050649491364356154,14.009382824473253,0.2256728760574175
current_uv,raw_no_denoise,20,,0,1,val,0.005606266900325901,0.005606266900325901,0.06423552318732498,0.04994966881511934,14.272435723281488,0.45296167164314083
current_uv,raw_no_denoise,20,,0,1,test,0.020433680671141877,0.020433680671141877,0.13925728249685612,0.10361534386379626,29.20442333181946,0.480331267752756
future_uv,raw_no_denoise,24,8.0,1,2,val,0.009253964924905773,0.009253964924905773,0.08322981828077329,0.06292497158985105,17.425897717891253,0.4216027868334009
future_uv,raw_no_denoise,24,8.0,1,2,test,0.015727572677190382,0.015727572677190382,0.12480000539164118,0.09689648626815706,26.96191082040222,0.44099379079435674
future_uv,raw_no_denoise,24,16.0,3,4,val,0.011903918257392034,0.011903918257392034,0.09356074297365827,0.0741500126048663,20.681113312884076,0.37456446117640374
future_uv,raw_no_denoise,24,16.0,3,4,test,0.011386382060923747,0.011386382060923747,0.10553182038337794,0.08113237451877653,22.362178095626042,0.3995859170058746
future_uv,raw_no_denoise,24,24.0,5,6,val,0.009378518678819054,0.009378518678819054,0.08474744316385183,0.06335913911721432,17.670597315665322,0.3344947735191638
future_uv,raw_no_denoise,24,24.0,5,6,test,0.010414678174385312,0.010414678174385312,0.10051473450710068,0.07447688869252708,20.628612782891,0.364389237286388
future_uv,raw_no_denoise,24,36.0,8,9,val,0.007476580877648829,0.007476580877648829,0.07346132558604981,0.05567836896467707,15.673342216305617,0.2421602773957136
future_uv,raw_no_denoise,24,36.0,8,9,test,0.0086593689477962,0.0086593689477962,0.09032246206673036,0.06349983758160047,17.763642573702164,0.26915113939508395
future_uv,raw_no_denoise,24,45.0,10,11,val,0.0063183957691392,0.0063183957691392,0.06853668796683852,0.054728894231626794,15.614715768900483,0.18292682989133774
future_uv,raw_no_denoise,24,45.0,10,11,test,0.007144508609552068,0.007144508609552068,0.07948840707232,0.06121235690224245,17.110097460618423,0.2256728760574175
current_uv,raw_no_denoise,24,,0,1,val,0.006901604120168536,0.006901604120168536,0.07190522756622228,0.05850084562127183,16.24975243013495,0.45296167164314083
current_uv,raw_no_denoise,24,,0,1,test,0.02079882456749431,0.02079882456749431,0.14055638581390953,0.10177404027794705,28.788380158860736,0.480331267752756
future_uv,denoise_step=001,8,8.0,1,2,val,0.01668187237315477,0.01668187237315477,0.11333826900774593,0.08519333151886273,24.312796855222057,0.4216027868334009
future_uv,denoise_step=001,8,8.0,1,2,test,0.03273189697977672,0.03273189697977672,0.17856342550637067,0.14319864942790558,40.64530516756741,0.44099379079435674
future_uv,denoise_step=001,8,16.0,3,4,val,0.022755860821554886,0.022755860821554886,0.13148755837192935,0.10148373041107264,28.645963702052313,0.37456446117640374
future_uv,denoise_step=001,8,16.0,3,4,test,0.031759568896939046,0.031759568896939046,0.1779179046736494,0.14350438155002476,40.6496614017842,0.3995859170058746
future_uv,denoise_step=001,8,24.0,5,6,val,0.016651431663214953,0.016651431663214953,0.11216052250371993,0.08513090209159287,24.292255853526683,0.3344947735191638
future_uv,denoise_step=001,8,24.0,5,6,test,0.029893209822244526,0.029893209822244526,0.17223701627604956,0.1427639191873819,39.83705399001854,0.364389237286388
