layer,source,target,test_loss,loss_improvement_vs_raw,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,uv_mae_px_improvement_vs_raw,valid_fraction,horizon,future_step,future_step_1based
12,denoise_step=007,future_uv,0.0270076799235358,-3.9825882995338455,0.0270076799235358,0.1605922044804377,0.1297190579321567,35.77521680748981,-1.4622867731880367,0.2691511393950839,36,8,9
12,raw_no_denoise,future_uv,0.0041919816343217,0.0,0.0041919816343217,0.0641231326459604,0.049783771005353,13.641409826574858,0.0,0.2256728760574175,45,10,11
12,denoise_step=001,future_uv,0.0206027219561748,-3.9147929913363044,0.0206027219561748,0.1419626945170803,0.1185203845425669,32.68203192764187,-1.3957957676760022,0.2256728760574175,45,10,11
12,denoise_step=005,future_uv,0.0226494746888152,-4.403047213607386,0.0226494746888152,0.1486901006898524,0.1220108835531811,33.54793661524297,-1.4592719551529172,0.2256728760574175,45,10,11
12,denoise_step=007,future_uv,0.0235515249079367,-4.618231891835935,0.0235515249079367,0.1522926262446812,0.1266971030590697,34.90878391463317,-1.5590305077285558,0.2256728760574175,45,10,11
12,denoise_step=003,future_uv,0.0254791596206387,-5.0780704314229315,0.0254791596206387,0.1580437732779461,0.1317035031059513,36.62692141483536,-1.6849806493961041,0.2256728760574175,45,10,11
16,raw_no_denoise,future_uv,0.0118865805357987,0.0,0.0118865805357987,0.1065933974633305,0.0793190265988341,22.498110587552468,0.0,0.4409937907943567,8,1,2
16,denoise_step=007,future_uv,0.0362835805477501,-2.0524826242900716,0.0362835805477501,0.1875612116254881,0.1549528870523346,43.53062252573839,-0.9348568119236902,0.4409937907943567,8,1,2
16,denoise_step=003,future_uv,0.0388078432969795,-2.2648450225110826,0.0388078432969795,0.1940380158076375,0.1612360393532068,45.72751555038042,-1.0325047017806057,0.4409937907943567,8,1,2
16,denoise_step=005,future_uv,0.0396709161315028,-2.3374540316305676,0.0396709161315028,0.1959634430043199,0.1634794724777371,46.09966446301952,-1.0490460424941235,0.4409937907943567,8,1,2
