mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,noisy_input_cos,noisy_sequence_input_cos,latent_cos_pred_x0,latent_mse_pred_x0,sequence_cos_pred_x0,sequence_mse_pred_x0,cos_pred_x0_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos,run_dir,cond_frames,future_pixel_frames,frame_start,frame_stride,cond_latent_frames,summary_target_latent_idx,latent_shape
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.32631716132164,-0.32631716132164,-0.9112839698791504,1.576723337173462,-0.9112839698791504,1.576723337173462,-1.7393192052841187,-1.7393192052841187,0.47118234634399414,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5686600208282471,0.5686600208282471,0.9457106590270996,0.14790986478328705,0.9457106590270996,0.14790986478328705,0.11767542362213135,0.11767542362213135,0.5732353925704956,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.17133890092372894,0.17133890092372894,0.8086808919906616,0.32534846663475037,0.8086808919906616,0.32534846663475037,-0.01935434341430664,-0.01935434341430664,0.5342103242874146,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.0013579303631559014,-0.0013579303631559014,0.19319716095924377,0.4623732566833496,0.19319716095924377,0.4623732566833496,-0.6348380744457245,-0.6348380744457245,0.501030445098877,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.32758912444114685,-0.32758912444114685,-0.8888243436813354,1.5650080442428589,-0.8888243436813354,1.5650080442428589,-1.7168595790863037,-1.7168595790863037,0.4669335186481476,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5694094896316528,0.5694094896316528,0.928968071937561,0.15110959112644196,0.928968071937561,0.15110959112644196,0.10093283653259277,0.10093283653259277,0.5722469687461853,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.17143183946609497,0.17143183946609497,0.7528765201568604,0.3252486288547516,0.7528765201568604,0.3252486288547516,-0.07515871524810791,-0.07515871524810791,0.5348089337348938,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,0.0013434342108666897,0.0013434342108666897,0.1752094328403473,0.4640907943248749,0.1752094328403473,0.4640907943248749,-0.652825802564621,-0.652825802564621,0.5043946504592896,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.3241760730743408,-0.3241760730743408,-0.8552426099777222,1.5442909002304077,-0.8552426099777222,1.5442909002304077,-1.6832778453826904,-1.6832778453826904,0.47139573097229004,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,7.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5686968564987183,0.5686968564987183,0.9107892513275146,0.1552737057209015,0.9107892513275146,0.1552737057209015,0.08275401592254639,0.08275401592254639,0.5707230567932129,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
