target,source,layer,split,loss,xyz_rmse_m,uv_mae_norm,depth_mae_m,velocity_mae_m_per_frame,contact_acc,success_acc,time_to_contact_acc,time_to_contact_mae_bucket
future,denoise_tau=0.900,6,test,0.905555534362793,0.12588217258453369,0.11230215430259705,0.06403088867664337,0.036545292536417646,0.7570833444595337,0.9425000111262004,0.6541666746139526,1.187500007947286
current,denoise_tau=0.900,6,val,0.3140924916817592,0.1357073017975667,0.1183006377382712,0.05503143690578587,,0.7360139910157744,0.9947552447552448,,
current,denoise_tau=0.900,6,test,0.32937624454498293,0.12714174489180247,0.11106095214684804,0.07588280737400055,,0.7479166666666667,0.9916666666666667,,
future,denoise_tau=0.900,14,val,0.9561886812423492,0.1288794194693332,0.11463846881072838,0.07866132858541462,0.03996473415331407,0.7440559518087161,0.9419580606313852,0.645104899273052,1.326923085259391
future,denoise_tau=0.900,14,test,0.9427347024281819,0.12507794896761576,0.10517525275548299,0.08613933970530828,0.036421319593985875,0.7362500270207722,0.9412500143051148,0.6416666706403097,1.2958333412806193
current,denoise_tau=0.900,14,val,0.3145805088790147,0.12211455706949834,0.127600193909415,0.06784258642188319,,0.7639860189878024,0.9947552447552448,,
current,denoise_tau=0.900,14,test,0.3204694112141927,0.10306860903898875,0.11056328217188517,0.08763560851414999,,0.725000003973643,0.9916666666666667,,
future,denoise_tau=0.900,27,val,0.9449149445220307,0.13294189084659924,0.11299403350461613,0.07122079277788843,0.03721181477804284,0.7321678391703359,0.9419580606313852,0.6311188861206695,1.3548951098968933
future,denoise_tau=0.900,27,test,0.9068128387133281,0.13447513282299042,0.10670792559782664,0.06469414780537287,0.039081283907095594,0.7670833667119344,0.9412500143051148,0.6916666746139526,1.0833333412806192
current,denoise_tau=0.900,27,val,0.3147576032401799,0.11686446512495721,0.1335493543973336,0.05436291451845969,,0.7395104945122779,0.9947552447552448,,
current,denoise_tau=0.900,27,test,0.3193765878677368,0.118912868698438,0.10466215908527374,0.06371463040510814,,0.750000003973643,0.9916666666666667,,
future,denoise_tau=0.750,6,val,0.8950988696171687,0.12076847901294281,0.13535709877114196,0.07773094202255036,0.03582627623231261,0.7632867293757992,0.9395105055162123,0.6468531476867783,1.1730769339141311
future,denoise_tau=0.750,6,test,0.9198913931846618,0.12259293794631958,0.0934845119714737,0.07062718669573466,0.03435027649005254,0.7416666905085246,0.9408333381017049,0.6291666666666667,1.256250015894572
current,denoise_tau=0.750,6,val,0.305763937168188,0.1221864480863918,0.13890463770269515,0.06816709716315869,,0.7430069942574401,0.9947552447552448,,
current,denoise_tau=0.750,6,test,0.3136812746524811,0.12067293425401052,0.10443956951300302,0.07340862254301707,,0.7625,0.9916666666666667,,
future,denoise_tau=0.750,14,val,0.9463919367823568,0.12335856925774287,0.11577812743770492,0.07344276108941832,0.034275762788899294,0.7398601511975268,0.9419580606313852,0.627622378456009,1.3618881252262143
future,denoise_tau=0.750,14,test,0.9439212481180826,0.12045809626579285,0.09912349581718445,0.08417720993359884,0.0355353722969691,0.7204166690508524,0.9412500143051148,0.6333333373069763,1.33125
current,denoise_tau=0.750,14,val,0.3064446859843247,0.11653211254339951,0.10599722827856357,0.05981297267379461,,0.743006998425597,0.9947552447552448,,
current,denoise_tau=0.750,14,test,0.3163683275381724,0.1205135703086853,0.11212812115748723,0.06538570324579875,,0.7333333373069764,0.9916666666666667,,
